intern_id,department,duration_weeks,academic_background,enrollment_date,completion_status,completion_date,dropout_week,dropout_reason,mentor_interaction,weekly_hours,final_project_score,mentor_feedback_score,age,gpa,program_year,program_month,completion_numeric
INT_0218,Data Science,8,Science,10/15/2023,Dropped Out,,6,Academic,Medium,23.6,78.3,7.3,24,2.57,2023,10,0
INT_0219,Marketing,24,Other,1/27/2023,Dropped Out,,20,Job Offer,High,29.3,46.2,8.8,23,3.51,2023,1,0
INT_0220,Engineering,12,Business,12/3/2023,Completed,2/25/2024,,,Medium,37.5,87.6,7.7,19,2.93,2023,12,1
INT_0221,Marketing,16,Computer Science,5/23/2023,Dropped Out,,13,Performance,Medium,27.6,60.6,2.7,26,3.18,2023,5,0
INT_0222,Business,8,Science,12/3/2023,Dropped Out,,3,Academic,High,31.2,22.3,8.3,20,2.5,2023,12,0
INT_0223,Marketing,16,Engineering,6/29/2023,Completed,10/19/2023,,,Low,36.9,84.1,9.7,20,2.7,2023,6,1
INT_0224,Business,24,Computer Science,3/14/2023,Completed,8/29/2023,,,Medium,32.7,88.5,8.4,18,3.39,2023,3,1
INT_0225,Engineering,12,Arts,8/3/2023,Completed,10/26/2023,,,Medium,24.5,87.5,8.1,20,3.69,2023,8,1
INT_0226,Marketing,16,Other,6/16/2023,Completed,10/6/2023,,,Medium,42.5,93.5,8,27,3.06,2023,6,1
INT_0227,Business,8,Computer Science,3/21/2023,Completed,5/16/2023,,,Low,39.2,97.2,10,27,3.16,2023,3,1
INT_0228,Engineering,8,Engineering,8/15/2023,Completed,10/10/2023,,,High,40.2,87.4,8.1,25,3.12,2023,8,1
INT_0229,Business,24,Arts,5/20/2023,Dropped Out,,17,Academic,Low,25.4,54.7,5.7,23,2.79,2023,5,0
INT_0230,Design,8,Engineering,12/14/2023,Dropped Out,,4,Health,Medium,25.6,35,7.8,28,3.34,2023,12,0
INT_0231,Marketing,8,Business,7/22/2023,Completed,9/16/2023,,,High,24.5,100,7.2,18,3.36,2023,7,1
INT_0232,Engineering,12,Engineering,4/19/2023,Completed,7/12/2023,,,High,40.5,74.6,9.4,30,2.78,2023,4,1
INT_0233,Marketing,16,Engineering,3/3/2023,Dropped Out,,12,Performance,Low,27.2,55.2,8.1,20,3.13,2023,3,0
INT_0234,Data Science,24,Science,12/27/2023,Completed,6/12/2024,,,Low,39.4,90,8.7,26,3.35,2023,12,1
INT_0235,Research,16,Computer Science,7/23/2023,Completed,11/12/2023,,,High,39.8,88.1,7.8,18,3.23,2023,7,1
INT_0236,Design,8,Arts,2/9/2023,Completed,4/6/2023,,,High,40.5,96.9,9.5,27,2.74,2023,2,1
INT_0237,Design,24,Other,11/24/2023,Completed,5/10/2024,,,Medium,31.1,88,10,19,3.1,2023,11,1
INT_0238,Design,8,Engineering,3/29/2023,Completed,5/24/2023,,,High,43.1,89.5,8.1,27,3.59,2023,3,1
INT_0239,Design,16,Computer Science,8/12/2023,Completed,12/2/2023,,,High,40.2,90.7,9.6,21,3.45,2023,8,1
INT_0240,Design,24,Science,2/10/2023,Completed,7/28/2023,,,Low,34.2,86.3,8.2,22,3.21,2023,2,1
INT_0241,Research,16,Business,6/20/2023,Completed,10/10/2023,,,High,28.6,68.6,7.2,19,3.82,2023,6,1
INT_0242,Business,8,Science,9/19/2023,Completed,11/14/2023,,,Low,31.8,71.8,10,30,3.6,2023,9,1
INT_0243,Marketing,16,Other,11/27/2023,Completed,3/18/2024,,,High,23.8,78.2,8.6,21,3.65,2023,11,1
INT_0244,Engineering,12,Engineering,4/12/2023,Completed,7/5/2023,,,Low,28.1,68.5,10,20,4.18,2023,4,1
INT_0245,Research,8,Business,11/18/2023,Completed,1/13/2024,,,Medium,38.4,90.8,8.1,30,3.36,2023,11,1
INT_0246,Business,24,Other,10/17/2023,Dropped Out,,20,Job Offer,Medium,19,60.8,2.6,28,3.16,2023,10,0
INT_0247,Marketing,12,Arts,2/4/2023,Completed,4/29/2023,,,Medium,39.9,78.8,5.6,28,3.36,2023,2,1
INT_0248,Marketing,16,Science,1/29/2023,Dropped Out,,2,Job Offer,Low,17.1,79.1,4,25,3.11,2023,1,0
INT_0249,Design,8,Computer Science,7/8/2023,Completed,9/2/2023,,,High,30.2,90.5,10,19,3.29,2023,7,1
INT_0250,Research,8,Science,11/1/2023,Completed,12/27/2023,,,High,27,89.4,8.5,25,3.42,2023,11,1
INT_0251,Business,8,Arts,10/20/2023,Dropped Out,,3,Health,Medium,20.4,66,6.9,25,3.26,2023,10,0
INT_0252,Business,12,Computer Science,8/19/2023,Dropped Out,,6,Academic,Low,25.4,65.6,4.6,26,2.93,2023,8,0
INT_0253,Research,12,Computer Science,5/7/2023,Completed,7/30/2023,,,High,40.7,82,8.1,25,3.5,2023,5,1
INT_0254,Business,12,Engineering,7/10/2023,Completed,10/2/2023,,,High,31.4,93.9,8.1,24,3.7,2023,7,1
INT_0255,Design,16,Other,11/3/2023,Dropped Out,,11,Job Offer,Low,26.9,53.3,10,19,2.7,2023,11,0
INT_0256,Marketing,8,Science,12/14/2023,Completed,2/8/2024,,,Low,38.2,89.1,8.2,22,3.15,2023,12,1
INT_0257,Research,12,Engineering,2/11/2023,Completed,5/6/2023,,,High,41.1,100,6.2,20,3.31,2023,2,1
INT_0258,Marketing,16,Other,12/24/2023,Completed,4/14/2024,,,Medium,34.6,100,7.3,20,3.86,2023,12,1
INT_0259,Business,8,Engineering,10/14/2023,Completed,12/9/2023,,,Low,39.9,96,9,30,2.99,2023,10,1
INT_0260,Marketing,12,Other,12/26/2023,Completed,3/19/2024,,,High,33.1,83,7.6,29,2.79,2023,12,1
INT_0261,Research,8,Other,12/10/2023,Completed,2/4/2024,,,Medium,32.1,83,7.4,23,3.21,2023,12,1
INT_0262,Engineering,16,Engineering,4/3/2023,Completed,7/24/2023,,,High,36.2,69.4,9,23,3.53,2023,4,1
INT_0263,Design,12,Business,3/12/2023,Completed,6/4/2023,,,Low,29.1,72.7,9.5,22,3.98,2023,3,1
INT_0264,Engineering,8,Other,6/22/2023,Completed,8/17/2023,,,High,31.5,84.4,9.3,27,3.23,2023,6,1
INT_0265,Data Science,24,Business,3/25/2023,Completed,9/9/2023,,,Low,30,91.3,7.1,29,3.23,2023,3,1
INT_0266,Business,12,Other,8/13/2023,Completed,11/5/2023,,,Low,31.3,97.4,10,23,3.44,2023,8,1
INT_0267,Research,12,Arts,11/9/2023,Dropped Out,,8,Personal,Medium,20.7,43.9,6.1,26,3.51,2023,11,0
INT_0268,Data Science,16,Arts,4/10/2023,Dropped Out,,10,Performance,Low,43.6,70.9,6.4,25,3.08,2023,4,0
INT_0269,Marketing,24,Science,9/28/2023,Completed,3/14/2024,,,Medium,37.5,90.8,6.9,20,2.84,2023,9,1
INT_0270,Data Science,12,Engineering,1/27/2023,Completed,4/21/2023,,,Medium,25.8,90.1,6.8,23,2.34,2023,1,1
INT_0271,Business,8,Other,9/22/2023,Completed,11/17/2023,,,High,39.2,85.3,8.9,22,3.2,2023,9,1
INT_0272,Engineering,12,Engineering,8/19/2023,Completed,11/11/2023,,,High,35.4,84,9.9,20,3.08,2023,8,1
INT_0273,Design,8,Business,8/19/2023,Completed,10/14/2023,,,High,37.8,91,7.7,18,3.11,2023,8,1
INT_0274,Design,8,Arts,9/15/2023,Completed,11/10/2023,,,Low,37.7,76,8.5,24,3.2,2023,9,1
INT_0275,Engineering,16,Business,1/15/2023,Completed,5/7/2023,,,Medium,33.9,87,10,19,3.08,2023,1,1
INT_0276,Research,16,Business,3/12/2023,Dropped Out,,15,Performance,Low,25.1,45.3,3.9,29,3.08,2023,3,0
INT_0277,Data Science,24,Arts,11/12/2023,Completed,4/28/2024,,,Low,37.5,85.5,5.8,19,2.94,2023,11,1
INT_0278,Engineering,16,Business,3/18/2023,Completed,7/8/2023,,,High,30.3,83.6,6.7,29,3.44,2023,3,1
INT_0279,Business,24,Computer Science,5/28/2023,Completed,11/12/2023,,,Low,30.2,89.2,7.5,19,3.17,2023,5,1
INT_0280,Engineering,12,Arts,11/24/2023,Dropped Out,,8,Academic,High,26.2,59.9,4.8,19,3.08,2023,11,0
INT_0281,Design,8,Other,9/21/2023,Completed,11/16/2023,,,Medium,35.1,77.7,6.2,29,3.56,2023,9,1
INT_0282,Data Science,16,Arts,1/1/2023,Completed,4/23/2023,,,Medium,22.2,94.3,6.4,21,3.11,2023,1,1
INT_0283,Business,24,Business,12/7/2023,Completed,5/23/2024,,,Medium,41,81.8,9.8,26,3.5,2023,12,1
INT_0284,Marketing,8,Science,10/6/2023,Completed,12/1/2023,,,Medium,32.1,59.1,7.7,26,3.36,2023,10,1
INT_0285,Business,8,Arts,8/29/2023,Completed,10/24/2023,,,Low,30,84.7,5.6,24,4.02,2023,8,1
INT_0286,Marketing,16,Other,1/9/2023,Dropped Out,,2,Job Offer,Low,24.8,51,5.1,21,2.85,2023,1,0
INT_0287,Research,8,Science,6/20/2023,Dropped Out,,3,Health,Low,10,58.3,4.3,23,2.29,2023,6,0
INT_0288,Research,12,Other,8/26/2023,Completed,11/18/2023,,,High,31.7,95.4,7.6,25,3.93,2023,8,1
INT_0289,Research,12,Business,2/2/2023,Completed,4/27/2023,,,High,34.6,94.2,10,25,3.69,2023,2,1
INT_0290,Engineering,16,Business,1/23/2023,Completed,5/15/2023,,,High,41.5,100,8.5,18,2.9,2023,1,1
INT_0291,Marketing,16,Science,7/23/2023,Completed,11/12/2023,,,High,35.4,100,8.2,26,3.24,2023,7,1
INT_0292,Design,16,Computer Science,11/28/2023,Completed,3/19/2024,,,Low,33.2,86.8,6.5,23,2.81,2023,11,1
INT_0293,Engineering,16,Engineering,3/5/2023,Completed,6/25/2023,,,High,38.4,96.6,7.8,24,3.03,2023,3,1
INT_0294,Design,24,Arts,6/23/2023,Completed,12/8/2023,,,High,40.9,92.2,10,25,2.9,2023,6,1
INT_0295,Research,24,Engineering,9/23/2023,Completed,3/9/2024,,,Medium,28.7,80,8.9,19,2.83,2023,9,1
INT_0296,Research,24,Computer Science,8/9/2023,Completed,1/24/2024,,,High,37.3,100,7.5,20,3.57,2023,8,1
INT_0297,Business,16,Engineering,2/22/2023,Dropped Out,,11,Job Offer,Low,36.6,92,7.5,22,3.44,2023,2,0
INT_0298,Design,24,Business,12/20/2023,Dropped Out,,15,Academic,Medium,22.1,52.4,3.9,29,2.41,2023,12,0
INT_0299,Marketing,24,Engineering,11/24/2023,Completed,5/10/2024,,,High,37.9,86.5,7.8,18,3.07,2023,11,1
INT_0300,Engineering,24,Engineering,9/20/2023,Completed,3/6/2024,,,High,36.5,93.2,9.8,28,2.97,2023,9,1
INT_0301,Data Science,8,Business,11/8/2023,Dropped Out,,4,Academic,Medium,31.7,52.8,8.4,20,3.14,2023,11,0
INT_0302,Engineering,12,Other,7/7/2023,Completed,9/29/2023,,,Medium,38.3,96.7,8.8,27,2.68,2023,7,1
INT_0303,Engineering,12,Other,8/19/2023,Dropped Out,,6,Performance,High,24.2,63.7,7.6,30,3.43,2023,8,0
INT_0304,Engineering,12,Science,7/7/2023,Completed,9/29/2023,,,Medium,41.2,85.2,9,28,3.88,2023,7,1
INT_0305,Marketing,12,Computer Science,1/14/2023,Completed,4/8/2023,,,Medium,25.5,85.8,10,25,3.45,2023,1,1
INT_0306,Business,24,Science,3/2/2023,Completed,8/17/2023,,,Low,41.4,91.7,8.3,22,2.71,2023,3,1
INT_0307,Research,24,Business,11/10/2023,Completed,4/26/2024,,,Medium,39.1,75.7,10,25,3.03,2023,11,1
INT_0308,Data Science,8,Business,2/7/2023,Completed,4/4/2023,,,Medium,43.3,88.9,6.7,29,3.38,2023,2,1
INT_0309,Design,8,Other,6/13/2023,Completed,8/8/2023,,,Medium,36.4,99.5,6.3,29,2.76,2023,6,1
INT_0310,Engineering,16,Engineering,3/22/2023,Completed,7/12/2023,,,High,38.6,81.3,10,29,3.04,2023,3,1
INT_0311,Research,12,Engineering,9/18/2023,Dropped Out,,4,Personal,Medium,11.4,86.9,9.4,21,2.9,2023,9,0
INT_0312,Design,8,Engineering,10/11/2023,Completed,12/6/2023,,,Medium,27.4,97.6,7.7,25,4.22,2023,10,1
INT_0313,Business,12,Science,2/14/2023,Dropped Out,,7,Performance,Low,26,54.7,9.7,26,3.95,2023,2,0
INT_0314,Design,24,Science,2/7/2023,Dropped Out,,11,Academic,Low,33.2,73.9,7.6,25,2.98,2023,2,0
INT_0315,Design,16,Business,10/10/2023,Completed,1/30/2024,,,Medium,40.6,78.5,9.9,20,3.47,2023,10,1
INT_0316,Data Science,24,Science,1/29/2023,Completed,7/16/2023,,,High,29.3,83.1,7.4,26,2.45,2023,1,1
INT_0317,Data Science,16,Business,3/24/2023,Completed,7/14/2023,,,Low,37.4,71.3,8.8,29,3.43,2023,3,1
INT_0318,Data Science,16,Science,5/26/2023,Completed,9/15/2023,,,High,41.1,90.8,8.2,22,2.82,2023,5,1
INT_0319,Data Science,16,Business,11/17/2023,Dropped Out,,9,Academic,Low,34.6,35.9,3.5,26,3.34,2023,11,0
INT_0320,Research,12,Science,10/25/2023,Completed,1/17/2024,,,Low,35.7,67.3,9,28,3.14,2023,10,1
INT_0321,Business,16,Science,1/22/2023,Completed,5/14/2023,,,High,40.2,83.1,7.9,18,3.36,2023,1,1
INT_0322,Engineering,8,Other,10/23/2023,Completed,12/18/2023,,,Medium,29.2,56.3,8.5,21,3.91,2023,10,1
INT_0323,Business,24,Science,11/24/2023,Dropped Out,,21,Health,Low,32.2,76.7,6.7,22,2.76,2023,11,0
INT_0324,Research,16,Arts,5/6/2023,Completed,8/26/2023,,,High,38.8,97.3,8.3,28,3.12,2023,5,1
INT_0325,Design,16,Arts,2/7/2023,Completed,5/30/2023,,,Medium,36.8,82.8,7.2,20,2.83,2023,2,1
INT_0326,Design,24,Arts,8/26/2023,Dropped Out,,20,Personal,Low,36.9,60.9,6,23,2.9,2023,8,0
INT_0327,Research,16,Other,6/26/2023,Completed,10/16/2023,,,High,35.5,73.7,5.9,20,2.79,2023,6,1
INT_0328,Marketing,8,Engineering,5/4/2023,Dropped Out,,3,Performance,Medium,25.5,72.7,2.9,21,2.99,2023,5,0
INT_0329,Data Science,8,Computer Science,5/29/2023,Completed,7/24/2023,,,High,29.4,90.7,6.5,27,4.17,2023,5,1
INT_0330,Design,12,Business,6/17/2023,Dropped Out,,6,Personal,High,12.1,82.5,4.5,30,2.88,2023,6,0
INT_0331,Data Science,24,Science,8/28/2023,Dropped Out,,10,Performance,Medium,33.1,100,5.4,18,3.26,2023,8,0
INT_0332,Engineering,24,Science,8/23/2023,Completed,2/7/2024,,,High,30.9,85.9,6.9,21,2.03,2023,8,1
INT_0333,Business,16,Computer Science,1/26/2023,Completed,5/18/2023,,,Low,32.8,100,10,27,2.79,2023,1,1
INT_0334,Research,24,Engineering,10/2/2023,Completed,3/18/2024,,,Low,35.1,77.7,8.2,19,3.75,2023,10,1
INT_0335,Design,12,Engineering,7/7/2023,Completed,9/29/2023,,,Medium,31.9,91,7.4,23,3,2023,7,1
INT_0336,Engineering,24,Computer Science,10/19/2023,Completed,4/4/2024,,,High,35.6,100,9,23,3.1,2023,10,1
INT_0337,Business,16,Computer Science,7/17/2023,Dropped Out,,13,Health,Medium,22.1,72.7,6.6,22,3.19,2023,7,0
INT_0338,Business,8,Business,2/19/2023,Dropped Out,,7,Job Offer,Low,32.1,63.8,5.6,26,4.48,2023,2,0
INT_0339,Marketing,12,Business,11/5/2023,Completed,1/28/2024,,,Medium,40.2,90.1,10,26,2.97,2023,11,1
INT_0340,Engineering,8,Computer Science,3/12/2023,Dropped Out,,7,Performance,High,25.9,43.4,7.8,26,2.93,2023,3,0
INT_0341,Design,12,Science,9/21/2023,Completed,12/14/2023,,,Low,40.9,90.4,9.6,27,3.12,2023,9,1
INT_0342,Marketing,12,Arts,11/12/2023,Completed,2/4/2024,,,Medium,37.4,76.5,7.5,22,3.61,2023,11,1
INT_0343,Business,16,Science,9/18/2023,Dropped Out,,12,Health,Medium,22.9,72.3,4.9,22,2.99,2023,9,0
INT_0344,Design,8,Engineering,6/19/2023,Dropped Out,,4,Health,Medium,17.4,71.4,10,22,2.77,2023,6,0
INT_0345,Research,8,Science,8/31/2023,Completed,10/26/2023,,,Medium,36,87.4,9.3,28,3.2,2023,8,1
INT_0346,Business,12,Other,1/27/2023,Completed,4/21/2023,,,Medium,29.7,89.3,8.2,20,3.59,2023,1,1
INT_0347,Business,24,Business,12/15/2023,Dropped Out,,19,Academic,Low,25.3,61,9.6,21,3.29,2023,12,0
INT_0348,Engineering,24,Engineering,8/3/2023,Dropped Out,,23,Personal,Low,26.6,59.7,6.7,24,3.08,2023,8,0
INT_0349,Business,24,Other,2/1/2023,Dropped Out,,17,Personal,Medium,39.5,70.3,5.4,26,2.42,2023,2,0
INT_0350,Marketing,24,Science,7/12/2023,Dropped Out,,6,Performance,Low,10,55.9,8.6,26,3.19,2023,7,0
INT_0351,Marketing,16,Other,12/15/2023,Completed,4/5/2024,,,Medium,37.7,76.6,7.7,29,3.04,2023,12,1
INT_0352,Marketing,24,Business,5/7/2023,Completed,10/22/2023,,,Low,43.1,81.8,10,22,3.81,2023,5,1
INT_0353,Data Science,16,Engineering,12/27/2023,Completed,4/17/2024,,,Low,34.5,97.3,8.6,29,3.25,2023,12,1
INT_0354,Design,16,Arts,6/28/2023,Completed,10/18/2023,,,Medium,29.1,96.9,7.8,30,3.28,2023,6,1
INT_0355,Research,16,Engineering,3/4/2023,Completed,6/24/2023,,,High,33,90.2,7.7,26,3.51,2023,3,1
INT_0356,Design,24,Engineering,3/16/2023,Dropped Out,,10,Academic,Low,26,94.1,4,23,2.93,2023,3,0
INT_0357,Design,16,Other,9/3/2023,Completed,12/24/2023,,,Low,40.1,71.8,9.6,26,3.47,2023,9,1
INT_0358,Marketing,16,Business,2/25/2023,Completed,6/17/2023,,,Medium,37,82.6,9.5,27,3.96,2023,2,1
INT_0359,Data Science,12,Computer Science,12/9/2023,Completed,3/2/2024,,,High,26.5,62.2,8.7,21,3.64,2023,12,1
INT_0360,Research,12,Computer Science,2/21/2023,Completed,5/16/2023,,,Medium,32.3,84.1,9,29,3.28,2023,2,1
INT_0361,Design,8,Other,3/12/2023,Completed,5/7/2023,,,Low,32.8,92.5,8.8,26,3.33,2023,3,1
INT_0362,Data Science,24,Other,9/1/2023,Dropped Out,,7,Job Offer,Medium,17.5,81.3,4.9,23,3.52,2023,9,0
INT_0363,Marketing,8,Computer Science,11/30/2023,Dropped Out,,5,Academic,Medium,27.7,55.3,4.2,20,3.24,2023,11,0
INT_0364,Design,12,Computer Science,7/23/2023,Completed,10/15/2023,,,Medium,34.9,82,9.7,20,2.55,2023,7,1
INT_0365,Research,16,Computer Science,1/5/2023,Completed,4/27/2023,,,Medium,40.3,76.4,9.1,27,3.56,2023,1,1
INT_0366,Engineering,16,Engineering,8/21/2023,Completed,12/11/2023,,,High,34.5,83.3,8.6,26,3.66,2023,8,1
INT_0367,Business,24,Business,9/16/2023,Completed,3/2/2024,,,Medium,36.7,96.6,8.9,21,3.46,2023,9,1
INT_0368,Engineering,16,Business,8/23/2023,Completed,12/13/2023,,,High,35.9,95,4.4,29,3.47,2023,8,1
INT_0369,Data Science,8,Other,6/22/2023,Completed,8/17/2023,,,Medium,42.4,81.5,9.8,27,3.29,2023,6,1
INT_0370,Research,12,Business,11/9/2023,Completed,2/1/2024,,,High,43.1,98.1,10,24,3.5,2023,11,1
INT_0371,Design,16,Computer Science,7/25/2023,Completed,11/14/2023,,,Medium,30.2,85.3,8.1,20,2.24,2023,7,1
INT_0372,Data Science,24,Engineering,5/8/2023,Dropped Out,,13,Personal,Low,26,73.3,6.1,25,3.88,2023,5,0
INT_0373,Marketing,16,Engineering,10/26/2023,Completed,2/15/2024,,,Medium,34.5,83.2,7.8,18,2.32,2023,10,1
INT_0374,Marketing,16,Other,5/1/2023,Completed,8/21/2023,,,Low,32.9,78.1,6.4,19,3.17,2023,5,1
INT_0375,Design,16,Business,7/27/2023,Completed,11/16/2023,,,Medium,30.5,78.3,8.2,29,3.2,2023,7,1
INT_0376,Marketing,8,Other,6/1/2023,Completed,7/27/2023,,,Low,33.5,77.5,9,21,3.74,2023,6,1
INT_0377,Data Science,12,Arts,3/20/2023,Completed,6/12/2023,,,Medium,36.9,83.2,7.3,27,3.12,2023,3,1
INT_0378,Marketing,24,Other,10/9/2023,Completed,3/25/2024,,,High,33.4,77,10,30,3.21,2023,10,1
INT_0379,Business,12,Business,12/15/2023,Completed,3/8/2024,,,Medium,33,78.5,6.4,30,2.46,2023,12,1
INT_0380,Engineering,24,Science,12/27/2023,Completed,6/12/2024,,,Medium,36.3,90.1,6.1,27,3.56,2023,12,1
INT_0381,Engineering,8,Science,9/16/2023,Completed,11/11/2023,,,Medium,35.7,78.9,7.4,26,3.34,2023,9,1
INT_0382,Data Science,12,Engineering,9/24/2023,Completed,12/17/2023,,,Medium,24.2,77.8,8.2,28,2.81,2023,9,1
INT_0383,Data Science,24,Computer Science,9/19/2023,Dropped Out,,2,Performance,Medium,29.1,62.5,8.5,20,3.66,2023,9,0
INT_0384,Business,24,Arts,10/16/2023,Dropped Out,,15,Job Offer,Low,24.2,65.3,7.4,29,3.29,2023,10,0
INT_0385,Engineering,24,Engineering,1/2/2023,Completed,6/19/2023,,,High,36.9,91.4,8.6,27,2.9,2023,1,1
INT_0386,Engineering,8,Arts,6/26/2023,Completed,8/21/2023,,,High,34.8,82.9,8.3,26,2.45,2023,6,1
INT_0387,Engineering,8,Arts,1/17/2023,Completed,3/14/2023,,,Medium,25.2,92.3,9.8,20,3.71,2023,1,1
INT_0388,Data Science,24,Engineering,7/15/2023,Dropped Out,,13,Performance,Medium,19.8,91.6,3.6,19,3.57,2023,7,0
INT_0389,Research,12,Other,6/28/2023,Completed,9/20/2023,,,Low,33.7,99.3,9.3,26,3.4,2023,6,1
INT_0390,Design,12,Other,4/25/2023,Completed,7/18/2023,,,High,34.3,93.1,9.7,30,2.5,2023,4,1
INT_0391,Engineering,16,Arts,12/11/2023,Completed,4/1/2024,,,High,42.9,92.8,7,24,3.79,2023,12,1
INT_0392,Business,24,Business,5/7/2023,Completed,10/22/2023,,,Medium,29.5,82.9,8,20,3.51,2023,5,1
INT_0393,Marketing,12,Other,2/27/2023,Completed,5/22/2023,,,Low,35.2,83.4,6.4,28,3.69,2023,2,1
INT_0394,Design,8,Business,4/16/2023,Completed,6/11/2023,,,Low,26.6,76.9,9.9,27,3.85,2023,4,1
INT_0395,Engineering,24,Science,12/11/2023,Completed,5/27/2024,,,High,44.5,80.4,8.4,18,2.74,2023,12,1
INT_0396,Data Science,8,Arts,8/13/2023,Completed,10/8/2023,,,Low,37.7,85.1,7.8,21,3.16,2023,8,1
INT_0397,Engineering,12,Science,5/29/2023,Completed,8/21/2023,,,Medium,29.5,81.4,5.8,29,3.06,2023,5,1
INT_0398,Business,16,Science,11/3/2023,Dropped Out,,14,Job Offer,Medium,30.6,60,8.3,21,3.35,2023,11,0
INT_0399,Marketing,12,Other,9/24/2023,Dropped Out,,5,Job Offer,Low,12.7,42.7,7.1,18,2.38,2023,9,0
INT_0400,Business,12,Other,12/14/2023,Completed,3/7/2024,,,Medium,43.7,100,9.5,25,3.4,2023,12,1
INT_0401,Engineering,16,Other,12/10/2023,Completed,3/31/2024,,,Medium,29.7,76.3,6.6,26,2.85,2023,12,1
INT_0402,Marketing,24,Arts,3/18/2023,Dropped Out,,6,Health,Low,10,76.2,3.9,25,3.3,2023,3,0
INT_0403,Data Science,12,Engineering,12/29/2023,Completed,3/22/2024,,,Low,34,100,8.9,25,3.56,2023,12,1
INT_0404,Engineering,24,Arts,10/13/2023,Completed,3/29/2024,,,High,28.9,90,7.8,24,3.16,2023,10,1
INT_0405,Data Science,16,Business,6/19/2023,Completed,10/9/2023,,,Medium,27.4,87.4,8.9,25,3.91,2023,6,1
INT_0406,Marketing,8,Science,4/8/2023,Dropped Out,,4,Health,Low,27.5,59.1,6.5,27,3.06,2023,4,0
INT_0407,Engineering,8,Business,10/28/2023,Completed,12/23/2023,,,High,34.4,73.3,8.5,26,3.36,2023,10,1
INT_0408,Data Science,24,Business,6/20/2023,Dropped Out,,1,Personal,Low,10.8,83.9,4.2,21,2.94,2023,6,0
INT_0409,Research,8,Other,9/3/2023,Completed,10/29/2023,,,High,36.2,60.8,10,29,3.09,2023,9,1
INT_0410,Business,12,Arts,5/3/2023,Dropped Out,,5,Performance,Medium,24.6,69.3,7,25,3.46,2023,5,0
INT_0411,Business,16,Engineering,5/14/2023,Dropped Out,,15,Performance,Low,34.3,61.9,5.7,25,3.6,2023,5,0
INT_0412,Engineering,24,Engineering,4/15/2023,Completed,9/30/2023,,,Medium,38.3,86.9,8.5,24,3.04,2023,4,1
INT_0413,Engineering,12,Other,3/16/2023,Dropped Out,,9,Health,Low,32.6,81.5,5.2,27,2.9,2023,3,0
INT_0414,Research,24,Engineering,3/20/2023,Completed,9/4/2023,,,Low,31.9,93.6,9.9,21,3.41,2023,3,1
INT_0415,Design,12,Arts,10/9/2023,Completed,1/1/2024,,,Medium,37.6,92.2,9.1,28,2.96,2023,10,1
INT_0416,Marketing,16,Arts,11/25/2023,Dropped Out,,8,Personal,Medium,34.5,75.6,6.7,29,3.63,2023,11,0
INT_0417,Marketing,12,Business,10/7/2023,Completed,12/30/2023,,,Medium,30.9,84.8,6,26,2.55,2023,10,1
INT_0418,Research,8,Science,1/18/2023,Completed,3/15/2023,,,High,31,81.9,5.7,19,3.29,2023,1,1
INT_0419,Research,8,Computer Science,7/31/2023,Completed,9/25/2023,,,Low,42.3,85,8.2,28,3.23,2023,7,1
INT_0420,Data Science,8,Other,3/19/2023,Completed,5/14/2023,,,Low,27,77.4,7.3,26,2.82,2023,3,1
INT_0421,Design,16,Computer Science,11/13/2023,Dropped Out,,15,Health,Medium,23.8,75.5,5.4,25,3.45,2023,11,0
INT_0422,Research,24,Computer Science,1/4/2023,Completed,6/21/2023,,,High,38.2,72.6,8.6,24,3.31,2023,1,1
INT_0423,Engineering,8,Science,5/21/2023,Completed,7/16/2023,,,High,30.7,88.4,8.5,22,3.6,2023,5,1
INT_0424,Engineering,24,Business,2/24/2023,Completed,8/11/2023,,,High,44,97.4,8.8,26,3,2023,2,1
INT_0425,Data Science,12,Business,11/14/2023,Completed,2/6/2024,,,Medium,39.2,90.6,8.9,23,3.75,2023,11,1
INT_0426,Marketing,24,Computer Science,7/11/2023,Completed,12/26/2023,,,High,37,79.9,8.5,25,2.49,2023,7,1
INT_0427,Business,12,Other,4/26/2023,Completed,7/19/2023,,,Low,36.7,75.5,7.6,19,3.21,2023,4,1
INT_0428,Research,8,Computer Science,7/27/2023,Completed,9/21/2023,,,Medium,33.4,86.6,9.7,26,2.85,2023,7,1
INT_0429,Design,8,Other,1/5/2023,Completed,3/2/2023,,,Medium,33.6,77.2,9.6,19,3,2023,1,1
INT_0430,Design,24,Other,6/19/2023,Completed,12/4/2023,,,Medium,36.3,86.9,9.8,19,3.15,2023,6,1
INT_0431,Business,8,Business,4/19/2023,Completed,6/14/2023,,,High,34.7,100,10,29,2.67,2023,4,1
INT_0432,Business,24,Engineering,1/24/2023,Completed,7/11/2023,,,High,39.8,97.4,8.6,28,3.28,2023,1,1
INT_0433,Marketing,8,Business,6/11/2023,Completed,8/6/2023,,,Low,36,82.2,7.8,21,3.26,2023,6,1
INT_0434,Business,12,Other,7/23/2023,Completed,10/15/2023,,,High,35,91,6.3,22,2.28,2023,7,1
INT_0435,Data Science,12,Science,7/19/2023,Completed,10/11/2023,,,Medium,28,70.8,10,26,3.07,2023,7,1
INT_0436,Marketing,24,Other,3/13/2023,Dropped Out,,23,Academic,Medium,30,47.9,8.1,26,3.17,2023,3,0
