university,gpa,country,timezone,submission_duration_min,position_applied,years_experience,technical_skills_count,soft_skills_count,resume_file_size_kb,device_type,referral_source,is_fraudulent,email_username_length,has_suspicious_domain,name_length_ratio,suspicious_ip,submission_speed,application_hour,is_night_hour,application_dayofweek,application_month
State University,3.72,Canada,UTC,4,Business Analyst Intern,7,6,8,17,Automated Script,Direct,True,6,1,0.7,1,0.6666666666666666,0,1,0,4
Liberal Arts College,3.77,Canada,EST,45,Software Developer Intern,1,3,2,98,Mobile iOS,Company Website,False,14,0,0.5,0,15.0,17,0,6,5
Online University,3.76,USA,GMT,78,Marketing Intern,0,4,3,62,Windows Firefox,Job Portal,False,14,0,0.5,0,19.5,11,0,6,3
State University,3.67,Germany,PST,46,Business Analyst Intern,1,3,2,410,Mobile iOS,University,False,16,0,0.6,0,15.333333333333334,13,0,5,6
Community College,3.46,Australia,CET,70,Software Developer Intern,2,5,4,466,Mac Safari,Company Website,False,15,0,0.55,0,14.0,11,0,5,5
Community College,3.18,UK,CET,83,Research Assistant,2,3,3,103,Windows Chrome,LinkedIn,False,16,0,0.6,0,27.666666666666668,10,0,5,1
Online University,3.74,India,Unknown,5,Data Science Intern,7,7,7,20,Automated Script,Unknown,True,6,1,0.7,1,0.7142857142857143,0,1,0,6
Online University,3.57,Brazil,CST,26,Business Analyst Intern,3,3,2,415,Windows Firefox,LinkedIn,False,13,0,0.45,0,8.666666666666666,9,0,1,6
Liberal Arts College,3.08,UK,CET,57,Software Developer Intern,1,5,3,408,Windows Chrome,University,False,14,0,0.5,0,11.4,10,0,6,2
State University,3.48,USA,IST,92,Software Developer Intern,3,2,3,449,Mac Safari,Job Portal,False,13,0,0.45,0,46.0,14,0,6,1
Tech Institute,3.32,India,GMT,72,Software Developer Intern,1,5,2,138,Mac Safari,Company Website,False,15,0,0.55,0,14.4,12,0,5,1
Tech Institute,3.14,UK,GMT,93,Data Science Intern,0,3,3,375,Windows Firefox,University,False,17,0,0.65,0,31.0,13,0,5,3
International University,3.23,Australia,CET,115,Marketing Intern,1,5,3,310,Windows Firefox,Job Portal,False,14,0,0.5,0,23.0,14,0,0,6
Community College,3.5,India,CST,95,Data Science Intern,0,5,2,114,Mac Safari,Company Website,False,13,0,0.45,0,19.0,12,0,0,6
Tech Institute,3.34,Australia,IST,97,Business Analyst Intern,0,4,3,100,Windows Chrome,LinkedIn,False,17,0,0.65,0,24.25,10,0,5,5
Online University,2.89,UK,PST,74,Software Developer Intern,0,2,4,146,Windows Firefox,Job Portal,False,13,0,0.45,0,37.0,11,0,0,1
Online University,3.07,China,CST,22,Data Science Intern,0,2,2,393,Mobile iOS,Job Portal,False,14,0,0.5,0,11.0,11,0,2,3
Tech Institute,3.45,Australia,IST,35,Business Analyst Intern,1,4,4,301,Windows Firefox,University,False,13,0,0.45,0,8.75,17,0,1,4
Tech Institute,3.42,Canada,GMT,101,Business Analyst Intern,0,2,2,430,Windows Chrome,Job Portal,False,15,0,0.55,0,50.5,10,0,3,3
Liberal Arts College,3.69,India,GMT,62,Business Analyst Intern,0,2,2,293,Windows Firefox,LinkedIn,False,14,0,0.5,0,31.0,17,0,3,6
Online University,3.07,China,PST,93,Data Science Intern,2,5,2,224,Windows Chrome,Job Portal,False,13,0,0.5,0,18.6,10,0,0,3
Liberal Arts College,3.76,Australia,IST,64,Marketing Intern,1,5,4,423,Mac Safari,Company Website,False,15,0,0.6,0,12.8,10,0,5,2
State University,3.61,UK,CST,36,Data Science Intern,0,5,3,71,Windows Chrome,University,False,14,0,0.5,0,7.2,12,0,4,2
Tech Institute,3.36,Canada,IST,81,Software Developer Intern,3,3,2,403,Mac Safari,LinkedIn,False,14,0,0.5,0,27.0,15,0,3,3
Liberal Arts College,2.98,Canada,EST,58,Software Developer Intern,3,3,4,285,Windows Chrome,LinkedIn,False,14,0,0.5,0,19.33333333333333,9,0,0,1
No University,2.24,UK,UTC,7,Business Analyst Intern,2,10,6,97,Windows Chrome,,True,10,0,0.6,0,0.7,21,0,4,5
Liberal Arts College,3.29,USA,GMT,65,Software Developer Intern,1,4,4,386,Mac Safari,Company Website,False,13,0,0.45,0,16.25,15,0,4,4
Online University,3.66,UK,GMT,99,Business Analyst Intern,2,4,3,277,Windows Chrome,LinkedIn,False,13,0,0.45,0,24.75,13,0,3,6
Tech Institute,3.16,USA,IST,51,Business Analyst Intern,0,2,4,52,Windows Firefox,University,False,13,0,0.5,0,25.5,15,0,6,5
State University,3.71,India,CST,52,Software Developer Intern,2,5,4,463,Windows Firefox,LinkedIn,False,15,0,0.55,0,10.4,9,0,1,2
Liberal Arts College,3.05,Germany,EST,75,Marketing Intern,0,3,3,177,Windows Firefox,LinkedIn,False,17,0,0.65,0,25.0,15,0,1,5
International University,3.65,India,EST,30,Research Assistant,0,4,4,79,Mobile iOS,Company Website,False,16,0,0.6,0,7.5,16,0,4,2
Liberal Arts College,3.39,Germany,PST,117,Software Developer Intern,3,2,2,274,Mobile iOS,Job Portal,False,14,0,0.5,0,58.5,16,0,4,3
Community College,3.05,Germany,IST,104,Research Assistant,2,4,4,67,Windows Chrome,Job Portal,False,12,0,0.45,0,26.0,9,0,5,6
Online University,3.37,USA,IST,33,Data Science Intern,0,4,2,468,Windows Chrome,Job Portal,False,13,0,0.45,0,8.25,16,0,3,2
Community College,3.76,UK,IST,55,Marketing Intern,0,2,4,438,Mobile iOS,LinkedIn,False,14,0,0.5,0,27.5,13,0,6,3
Online University,4.04,Canada,EST,92,Business Analyst Intern,2,5,2,485,Windows Chrome,Job Portal,False,15,0,0.55,0,18.4,13,0,2,1
Liberal Arts College,3.1,Australia,EST,41,Data Science Intern,0,2,2,413,Windows Firefox,Job Portal,False,14,0,0.5,0,20.5,14,0,4,4
International University,3.51,USA,IST,91,Business Analyst Intern,1,2,4,317,Windows Chrome,Job Portal,False,14,0,0.55,0,45.5,13,0,0,6
Online University,3.79,Germany,UTC,6,Data Science Intern,5,8,6,32,Unknown Browser,,True,12,1,0.55,0,0.75,0,1,4,3
State University,3.52,USA,CST,83,Software Developer Intern,3,3,3,144,Windows Chrome,Job Portal,False,15,0,0.55,0,27.666666666666668,15,0,2,6
Community College,3.34,Canada,CST,71,Marketing Intern,0,2,2,180,Windows Firefox,Job Portal,False,14,0,0.5,0,35.5,17,0,1,5
Tech Institute,3.39,Germany,CST,73,Research Assistant,0,3,2,384,Windows Chrome,University,False,15,0,0.55,0,24.33333333333333,13,0,4,5
State University,3.99,India,UTC,5,Marketing Intern,7,7,6,63,Automated Script,Direct,True,6,1,0.7,1,0.7142857142857143,0,1,1,3
Liberal Arts College,3.22,USA,CET,70,Marketing Intern,1,3,4,497,Mobile iOS,Company Website,False,13,0,0.45,0,23.33333333333333,13,0,4,5
Online University,3.1,India,EST,46,Data Science Intern,2,4,4,474,Mac Safari,Job Portal,False,13,0,0.5,0,11.5,9,0,2,2
State University,3.88,Australia,Unknown,2,Data Science Intern,5,10,5,91,Automated Script,Direct,True,6,1,0.7,1,0.2,0,1,5,6
International University,3.68,Australia,CET,43,Software Developer Intern,0,5,3,387,Mac Safari,Company Website,False,14,0,0.5,0,8.6,14,0,0,6
Tech Institute,3.19,UK,CET,92,Data Science Intern,2,2,2,323,Mobile iOS,University,False,15,0,0.55,0,46.0,16,0,0,1
Online University,3.3,Canada,PST,97,Data Science Intern,1,2,3,465,Mac Safari,Job Portal,False,13,0,0.45,0,48.5,15,0,2,6
Liberal Arts College,2.99,UK,CET,95,Data Science Intern,0,2,4,309,Mac Safari,University,False,15,0,0.55,0,47.5,11,0,4,1
Online University,3.04,Brazil,PST,87,Software Developer Intern,1,2,2,108,Mobile iOS,University,False,16,0,0.6,0,43.5,13,0,5,6
Tech Institute,3.37,Brazil,CET,76,Business Analyst Intern,2,3,3,427,Mobile iOS,Job Portal,False,16,0,0.6,0,25.33333333333333,12,0,1,4
Online University,3.6,China,PST,114,Software Developer Intern,0,5,3,397,Windows Chrome,LinkedIn,False,14,0,0.5,0,22.8,12,0,6,2
Community College,3.76,Australia,EST,42,Software Developer Intern,2,3,2,216,Windows Chrome,LinkedIn,False,14,0,0.5,0,14.0,16,0,4,6
Online University,3.43,UK,EST,54,Business Analyst Intern,0,4,3,431,Windows Firefox,Job Portal,False,14,0,0.5,0,13.5,11,0,2,6
Tech Institute,3.55,USA,PST,82,Research Assistant,2,3,3,76,Mobile iOS,LinkedIn,False,14,0,0.5,0,27.33333333333333,13,0,0,4
Community College,3.13,China,CET,82,Business Analyst Intern,1,5,2,345,Windows Chrome,Job Portal,False,16,0,0.6,0,16.4,14,0,2,2
Liberal Arts College,3.04,Australia,CST,27,Marketing Intern,3,3,2,247,Windows Chrome,LinkedIn,False,15,0,0.55,0,9.0,17,0,3,1
Tech Institute,3.23,Australia,IST,27,Data Science Intern,0,4,4,339,Mobile iOS,Job Portal,False,14,0,0.5,0,6.75,12,0,5,5
Tech Institute,2.89,India,CST,35,Software Developer Intern,3,2,2,342,Windows Firefox,University,False,14,0,0.5,0,17.5,11,0,1,4
International University,3.51,USA,IST,117,Data Science Intern,3,3,2,342,Mac Safari,Company Website,False,15,0,0.55,0,39.0,14,0,2,5
International University,3.2,China,CET,21,Marketing Intern,1,5,3,178,Mac Safari,University,False,15,0,0.55,0,4.2,16,0,3,2
International University,3.24,Canada,GMT,108,Research Assistant,1,5,2,139,Mac Safari,University,False,14,0,0.5,0,21.6,16,0,2,6
Tech Institute,3.54,Germany,PST,93,Marketing Intern,2,4,4,239,Windows Firefox,LinkedIn,False,17,0,0.65,0,23.25,15,0,2,5
Online University,3.74,India,IST,61,Marketing Intern,0,2,4,346,Windows Firefox,LinkedIn,False,15,0,0.55,0,30.5,17,0,0,2
Liberal Arts College,3.21,Canada,IST,71,Data Science Intern,3,5,3,174,Windows Firefox,Job Portal,False,15,0,0.55,0,14.2,13,0,6,3
Online University,2.92,China,EST,29,Data Science Intern,1,5,4,269,Windows Chrome,University,False,15,0,0.55,0,5.8,15,0,1,4
Online University,4.16,China,IST,57,Marketing Intern,0,4,2,473,Mobile iOS,LinkedIn,False,14,0,0.5,0,14.25,17,0,0,1
Tech Institute,3.96,Brazil,UTC,8,Business Analyst Intern,8,9,7,11,Automated Script,Direct,True,16,0,0.6,1,0.8888888888888888,3,1,1,6
Tech Institute,3.5,USA,IST,108,Data Science Intern,1,4,2,172,Mac Safari,University,False,13,0,0.45,0,27.0,15,0,1,4
Fake University,3.58,Unknown,UTC,8,Data Science Intern,2,8,5,13,Windows Chrome,,True,8,0,0.45,0,1.0,12,0,5,6
State University,3.09,Brazil,PST,28,Business Analyst Intern,1,2,3,372,Windows Chrome,Company Website,False,14,0,0.5,0,14.0,14,0,1,2
Tech Institute,3.25,Australia,EST,80,Software Developer Intern,1,3,3,90,Mac Safari,Job Portal,False,15,0,0.55,0,26.666666666666668,17,0,3,5
Tech Institute,3.4,Brazil,CST,86,Marketing Intern,2,3,4,415,Windows Firefox,Company Website,False,14,0,0.5,0,28.666666666666668,13,0,5,6
State University,3.6,Brazil,CET,106,Business Analyst Intern,0,4,3,414,Windows Chrome,Job Portal,False,13,0,0.5,0,26.5,12,0,2,2
International University,3.01,Brazil,PST,120,Research Assistant,2,2,4,228,Windows Chrome,Company Website,False,16,0,0.65,0,60.0,10,0,5,4
Community College,3.29,Canada,PST,65,Research Assistant,1,2,3,204,Mac Safari,Company Website,False,14,0,0.5,0,32.5,16,0,1,1
Community College,2.96,China,IST,45,Software Developer Intern,1,5,2,433,Mobile iOS,Job Portal,False,16,0,0.6,0,9.0,11,0,3,2
State University,3.75,Canada,IST,53,Software Developer Intern,1,4,3,123,Mobile iOS,Job Portal,False,13,0,0.45,0,13.25,15,0,4,3
Online University,3.23,Australia,EST,94,Data Science Intern,1,4,4,425,Mobile iOS,University,False,13,0,0.45,0,23.5,14,0,6,6
Online University,3.74,Brazil,UTC,2,Research Assistant,5,9,6,76,Automated Script,,True,18,0,0.8,1,0.2222222222222222,18,0,5,3
Liberal Arts College,3.48,Australia,GMT,44,Research Assistant,0,3,4,393,Mac Safari,LinkedIn,False,16,0,0.6,0,14.666666666666666,11,0,0,2
International University,3.65,Canada,GMT,86,Software Developer Intern,0,3,3,408,Windows Firefox,Job Portal,False,16,0,0.6,0,28.666666666666668,9,0,0,3
Liberal Arts College,3.29,UK,EST,88,Data Science Intern,0,4,3,448,Windows Chrome,LinkedIn,False,13,0,0.5,0,22.0,10,0,6,3
Community College,3.56,India,PST,36,Data Science Intern,3,3,4,271,Windows Chrome,Job Portal,False,14,0,0.55,0,12.0,16,0,4,6
Online University,3.26,UK,CST,105,Marketing Intern,2,4,4,259,Windows Firefox,Job Portal,False,13,0,0.45,0,26.25,10,0,5,4
Tech Institute,3.93,China,CET,113,Business Analyst Intern,1,5,3,348,Mobile iOS,University,False,13,0,0.45,0,22.6,12,0,1,4
Online University,3.77,Germany,CET,39,Marketing Intern,1,2,4,142,Windows Chrome,University,False,14,0,0.5,0,19.5,11,0,1,3
Tech Institute,3.87,UK,EST,79,Marketing Intern,0,4,4,277,Mobile iOS,Job Portal,False,14,0,0.5,0,19.75,10,0,0,1
Community College,3.83,Brazil,UTC,6,Data Science Intern,5,6,6,49,Windows Chrome,Unknown,True,12,1,0.55,0,1.0,21,0,1,4
Community College,3.76,Australia,GMT,39,Software Developer Intern,0,5,3,326,Windows Firefox,Job Portal,False,14,0,0.5,0,7.8,16,0,2,6
Online University,3.74,Brazil,CET,46,Marketing Intern,0,3,3,470,Windows Chrome,Company Website,False,13,0,0.5,0,15.333333333333334,17,0,1,2
International University,3.78,China,CET,91,Marketing Intern,0,5,3,126,Mobile iOS,Job Portal,False,16,0,0.65,0,18.2,15,0,5,6
Liberal Arts College,3.55,China,PST,113,Data Science Intern,2,2,3,372,Windows Chrome,Company Website,False,14,0,0.5,0,56.5,11,0,4,5
Tech Institute,3.53,UK,PST,79,Research Assistant,2,3,3,154,Windows Chrome,University,False,14,0,0.5,0,26.33333333333333,11,0,6,3
Online University,3.23,Germany,CET,33,Marketing Intern,0,3,2,335,Mac Safari,LinkedIn,False,15,0,0.55,0,11.0,16,0,0,1
Liberal Arts College,3.24,UK,IST,51,Business Analyst Intern,0,5,3,363,Windows Chrome,LinkedIn,False,14,0,0.5,0,10.2,11,0,4,5
State University,3.44,China,GMT,104,Marketing Intern,1,5,4,394,Windows Chrome,LinkedIn,False,13,0,0.5,0,20.8,11,0,5,3
Tech Institute,3.41,Germany,IST,32,Business Analyst Intern,1,4,3,273,Mac Safari,Job Portal,False,14,0,0.5,0,8.0,16,0,4,1
International University,2.9,UK,EST,62,Research Assistant,2,5,4,500,Windows Firefox,Company Website,False,14,0,0.5,0,12.4,15,0,3,1
State University,3.44,Germany,CST,26,Data Science Intern,1,5,2,357,Mobile iOS,Job Portal,False,15,0,0.55,0,5.2,12,0,1,2
Liberal Arts College,4.0,Brazil,GMT,111,Data Science Intern,0,3,4,444,Windows Chrome,University,False,14,0,0.5,0,37.0,11,0,1,4
Community College,3.22,Australia,GMT,115,Software Developer Intern,1,4,2,116,Mobile iOS,Job Portal,False,16,0,0.6,0,28.75,11,0,3,5
State University,3.68,UK,EST,35,Data Science Intern,1,4,4,486,Windows Firefox,Company Website,False,13,0,0.45,0,8.75,16,0,0,4
Tech Institute,3.56,China,PST,60,Business Analyst Intern,0,2,4,212,Mac Safari,Company Website,False,14,0,0.5,0,30.0,9,0,1,1
International University,3.64,Unknown,UTC,1,Data Science Intern,5,6,6,36,Automated Script,Direct,True,6,1,0.7,1,0.1666666666666666,0,1,0,5
International University,3.17,China,CET,79,Data Science Intern,0,3,4,360,Mobile iOS,Company Website,False,17,0,0.65,0,26.33333333333333,16,0,0,3
Community College,3.72,Canada,,5,Marketing Intern,7,9,8,21,Automated Script,,True,6,1,0.7,1,0.5555555555555556,0,1,5,2
Online University,3.11,Germany,EST,89,Research Assistant,3,3,2,327,Windows Firefox,Company Website,False,15,0,0.55,0,29.666666666666668,13,0,0,1
State University,3.9,Australia,GMT,23,Business Analyst Intern,1,4,2,380,Windows Firefox,Job Portal,False,15,0,0.55,0,5.75,11,0,3,4
Online University,3.24,India,GMT,23,Business Analyst Intern,0,5,2,217,Windows Firefox,LinkedIn,False,16,0,0.6,0,4.6,17,0,4,3
Community College,3.55,UK,IST,38,Software Developer Intern,1,5,4,61,Windows Chrome,LinkedIn,False,15,0,0.55,0,7.6,10,0,6,3
No University,1.41,Canada,Unknown,8,Research Assistant,2,8,7,76,Unknown Browser,Direct,True,7,0,0.4,0,1.0,11,0,3,1
Liberal Arts College,2.65,India,CST,99,Software Developer Intern,0,5,3,267,Windows Chrome,LinkedIn,False,15,0,0.55,0,19.8,11,0,6,5
Community College,3.33,Canada,GMT,63,Marketing Intern,2,3,2,465,Mobile iOS,University,False,13,0,0.5,0,21.0,17,0,0,5
Fake University,1.75,Canada,Unknown,4,Software Developer Intern,6,6,8,91,Unknown Browser,Direct,True,8,0,0.6,0,0.6666666666666666,7,0,6,2
State University,3.83,India,IST,104,Software Developer Intern,2,3,3,418,Mac Safari,University,False,15,0,0.6,0,34.666666666666664,14,0,0,3
Community College,3.42,UK,IST,108,Research Assistant,2,5,3,128,Windows Firefox,Job Portal,False,14,0,0.5,0,21.6,9,0,1,2
International University,3.33,USA,PST,55,Research Assistant,2,2,4,108,Mac Safari,Company Website,False,13,0,0.45,0,27.5,9,0,4,3
Online University,2.59,India,CST,33,Software Developer Intern,1,4,2,148,Windows Firefox,Company Website,False,13,0,0.45,0,8.25,9,0,0,4
Community College,3.02,Brazil,IST,20,Business Analyst Intern,2,5,2,176,Windows Chrome,Company Website,False,14,0,0.5,0,4.0,12,0,4,2
International University,3.33,China,CET,80,Data Science Intern,0,5,2,449,Mac Safari,University,False,16,0,0.6,0,16.0,9,0,2,1
International University,3.75,India,IST,25,Business Analyst Intern,0,3,3,240,Mac Safari,Company Website,False,13,0,0.45,0,8.333333333333334,11,0,4,6
Tech Institute,3.92,Australia,EST,38,Marketing Intern,3,2,3,60,Windows Firefox,Company Website,False,15,0,0.55,0,19.0,13,0,0,5
Liberal Arts College,3.11,USA,CET,38,Marketing Intern,2,4,3,278,Mobile iOS,University,False,16,0,0.6,0,9.5,15,0,1,4
Liberal Arts College,3.69,India,UTC,6,Marketing Intern,7,8,5,91,Windows Chrome,Direct,True,11,1,0.5,0,0.75,20,0,2,5
International University,3.69,Brazil,CST,117,Data Science Intern,1,2,3,160,Mobile iOS,University,False,17,0,0.65,0,58.5,11,0,6,5
Online University,3.03,India,EST,116,Research Assistant,0,5,4,276,Windows Chrome,Company Website,False,16,0,0.6,0,23.2,11,0,4,2
Liberal Arts College,3.45,Australia,EST,117,Marketing Intern,2,5,4,393,Mac Safari,University,False,14,0,0.5,0,23.4,12,0,3,1
Community College,3.53,USA,GMT,74,Business Analyst Intern,0,4,4,148,Windows Chrome,University,False,15,0,0.55,0,18.5,16,0,0,4
Online University,3.87,Brazil,IST,31,Business Analyst Intern,0,5,3,473,Windows Firefox,Job Portal,False,13,0,0.45,0,6.2,11,0,3,3
Online University,3.27,Canada,CET,22,Research Assistant,0,2,2,80,Mobile iOS,LinkedIn,False,15,0,0.6,0,11.0,10,0,0,1
Tech Institute,3.56,Germany,GMT,106,Research Assistant,1,2,2,154,Mobile iOS,LinkedIn,False,15,0,0.55,0,53.0,13,0,0,1
Community College,3.14,China,GMT,90,Data Science Intern,1,2,4,497,Windows Chrome,University,False,15,0,0.55,0,45.0,15,0,6,4
Tech Institute,3.21,Australia,CST,37,Marketing Intern,3,2,4,467,Mobile iOS,LinkedIn,False,14,0,0.5,0,18.5,14,0,2,3
Liberal Arts College,3.36,Australia,PST,114,Business Analyst Intern,1,3,3,330,Mac Safari,University,False,14,0,0.5,0,38.0,11,0,4,2
Online University,3.34,Canada,PST,88,Marketing Intern,1,3,3,162,Windows Chrome,Company Website,False,14,0,0.5,0,29.33333333333333,9,0,2,3
Tech Institute,2.88,Germany,GMT,33,Research Assistant,2,2,2,343,Mobile iOS,LinkedIn,False,13,0,0.45,0,16.5,15,0,3,2
Community College,3.24,Germany,CST,82,Marketing Intern,1,2,4,300,Mobile iOS,Company Website,False,15,0,0.55,0,41.0,17,0,1,4
Community College,3.5,Australia,CST,60,Business Analyst Intern,1,4,3,99,Mac Safari,University,False,16,0,0.6,0,15.0,11,0,2,1
Online University,3.3,China,PST,33,Research Assistant,1,2,2,213,Mobile iOS,Job Portal,False,16,0,0.6,0,16.5,17,0,3,4
Online University,3.45,UK,PST,31,Marketing Intern,1,5,2,299,Mobile iOS,University,False,15,0,0.55,0,6.2,13,0,2,3
State University,3.84,Australia,CST,39,Research Assistant,3,4,3,237,Windows Chrome,Company Website,False,13,0,0.5,0,9.75,10,0,2,3
State University,3.18,Germany,PST,38,Research Assistant,2,4,2,377,Mac Safari,Company Website,False,15,0,0.55,0,9.5,16,0,4,3
State University,3.33,Canada,PST,34,Software Developer Intern,2,4,4,213,Windows Chrome,LinkedIn,False,15,0,0.55,0,8.5,13,0,5,2
Liberal Arts College,3.42,UK,CST,97,Marketing Intern,0,4,2,99,Windows Chrome,University,False,13,0,0.45,0,24.25,13,0,1,4
Tech Institute,3.47,USA,GMT,67,Business Analyst Intern,0,2,2,489,Mac Safari,University,False,13,0,0.45,0,33.5,11,0,5,5
Liberal Arts College,3.33,China,EST,57,Business Analyst Intern,2,5,4,292,Mac Safari,University,False,14,0,0.5,0,11.4,9,0,5,4
State University,3.41,Germany,PST,104,Software Developer Intern,1,5,4,425,Mac Safari,University,False,14,0,0.5,0,20.8,9,0,5,4
International University,3.33,Canada,CET,79,Marketing Intern,1,3,3,330,Mac Safari,University,False,17,0,0.65,0,26.33333333333333,15,0,2,5
Fake University,2.52,Germany,,4,Software Developer Intern,6,9,5,38,Unknown Browser,Direct,True,10,0,0.6,0,0.4444444444444444,10,0,1,1
Tech Institute,3.87,Multiple,Unknown,4,Marketing Intern,8,10,6,40,Unknown Browser,Direct,True,14,1,0.65,0,0.4,2,1,2,1
State University,3.85,Canada,IST,81,Software Developer Intern,2,2,4,377,Windows Firefox,University,False,16,0,0.6,0,40.5,12,0,4,6
State University,3.99,Germany,GMT,52,Marketing Intern,0,4,4,335,Windows Firefox,Company Website,False,15,0,0.55,0,13.0,14,0,5,3
Community College,3.37,Canada,IST,111,Software Developer Intern,1,5,3,325,Mobile iOS,Company Website,False,14,0,0.5,0,22.2,9,0,1,3
State University,3.41,Brazil,CST,115,Software Developer Intern,0,2,4,55,Mobile iOS,University,False,13,0,0.45,0,57.5,15,0,0,1
Liberal Arts College,4.02,Brazil,EST,21,Software Developer Intern,0,4,2,409,Mac Safari,University,False,17,0,0.65,0,5.25,16,0,1,1
Tech Institute,3.45,India,GMT,108,Software Developer Intern,4,5,3,296,Windows Chrome,University,False,14,0,0.5,0,21.6,17,0,0,1
Tech Institute,3.75,Unknown,Unknown,3,Marketing Intern,5,10,6,40,Automated Script,Unknown,True,6,1,0.7,1,0.3,0,1,0,3
Online University,3.63,Australia,CET,65,Data Science Intern,2,5,2,292,Windows Firefox,University,False,16,0,0.65,0,13.0,14,0,0,3
Community College,4.0,India,CET,105,Research Assistant,4,3,3,362,Mobile iOS,Company Website,False,14,0,0.5,0,35.0,10,0,2,6
State University,3.59,USA,GMT,25,Business Analyst Intern,2,3,4,152,Windows Chrome,Company Website,False,14,0,0.5,0,8.333333333333334,13,0,2,1
Tech Institute,3.7,Germany,EST,25,Research Assistant,1,2,3,412,Mobile iOS,Company Website,False,14,0,0.5,0,12.5,13,0,0,4
International University,3.25,Australia,CET,119,Marketing Intern,2,5,4,418,Mac Safari,LinkedIn,False,14,0,0.5,0,23.8,15,0,4,3
International University,3.48,Canada,EST,114,Research Assistant,2,4,4,408,Windows Chrome,University,False,16,0,0.6,0,28.5,9,0,4,6
State University,3.16,UK,GMT,61,Research Assistant,1,4,2,318,Mac Safari,Job Portal,False,15,0,0.55,0,15.25,13,0,2,1
Tech Institute,3.66,China,GMT,67,Research Assistant,1,3,2,146,Mac Safari,Job Portal,False,14,0,0.5,0,22.33333333333333,15,0,3,2
International University,3.36,India,IST,90,Software Developer Intern,2,3,2,257,Mobile iOS,Job Portal,False,15,0,0.55,0,30.0,12,0,0,5
International University,3.83,Brazil,Unknown,7,Research Assistant,7,10,6,23,Automated Script,Direct,True,14,0,0.6,1,0.7,11,0,1,5
Liberal Arts College,2.62,Canada,CET,93,Marketing Intern,1,5,2,235,Mobile iOS,Company Website,False,14,0,0.55,0,18.6,12,0,4,4
International University,3.38,USA,EST,95,Business Analyst Intern,0,3,3,333,Mac Safari,LinkedIn,False,14,0,0.5,0,31.666666666666668,16,0,5,1
Tech Institute,3.69,USA,IST,70,Software Developer Intern,2,4,4,450,Mac Safari,Job Portal,False,15,0,0.55,0,17.5,9,0,3,5
Liberal Arts College,3.87,,Unknown,8,Software Developer Intern,6,10,5,99,Unknown Browser,,True,11,1,0.5,0,0.8,17,0,4,4
International University,3.54,Canada,IST,23,Data Science Intern,0,2,3,489,Windows Chrome,University,False,14,0,0.5,0,11.5,12,0,2,1
Tech Institute,3.66,China,CET,57,Marketing Intern,2,2,4,194,Windows Firefox,LinkedIn,False,16,0,0.6,0,28.5,15,0,2,6
State University,3.29,Canada,EST,73,Business Analyst Intern,1,2,3,433,Mobile iOS,Job Portal,False,13,0,0.45,0,36.5,16,0,6,6
Community College,3.22,UK,EST,67,Software Developer Intern,0,2,3,155,Windows Chrome,University,False,13,0,0.5,0,33.5,17,0,3,6
Tech Institute,2.76,Brazil,PST,25,Business Analyst Intern,0,4,4,395,Mobile iOS,Company Website,False,13,0,0.45,0,6.25,10,0,5,2
Tech Institute,3.72,Brazil,,1,Software Developer Intern,5,10,5,46,Automated Script,Direct,True,6,1,0.7,1,0.1,0,1,0,1
State University,3.17,Brazil,EST,35,Marketing Intern,1,3,4,195,Windows Firefox,Company Website,False,16,0,0.6,0,11.666666666666666,16,0,1,2
Online University,3.71,Germany,Unknown,1,Data Science Intern,5,7,6,51,Automated Script,Unknown,True,6,1,0.7,1,0.1428571428571428,0,1,5,2
International University,3.99,China,PST,96,Software Developer Intern,0,2,4,439,Mac Safari,Company Website,False,16,0,0.6,0,48.0,13,0,2,4
Community College,3.6,Australia,PST,108,Marketing Intern,1,5,2,254,Mac Safari,University,False,13,0,0.45,0,21.6,12,0,0,1
State University,3.2,UK,CET,83,Research Assistant,2,3,2,461,Mobile iOS,Job Portal,False,13,0,0.45,0,27.666666666666668,15,0,3,6
Liberal Arts College,3.76,Germany,IST,84,Data Science Intern,2,2,4,375,Mobile iOS,Job Portal,False,16,0,0.6,0,42.0,11,0,6,6
Community College,3.75,China,PST,52,Research Assistant,1,3,4,165,Windows Firefox,University,False,13,0,0.45,0,17.333333333333332,17,0,0,2
Liberal Arts College,3.34,Canada,CET,88,Research Assistant,0,2,2,299,Mac Safari,Company Website,False,14,0,0.5,0,44.0,13,0,6,3
International University,3.69,India,PST,105,Software Developer Intern,1,5,3,197,Mobile iOS,LinkedIn,False,14,0,0.5,0,21.0,13,0,6,3
Liberal Arts College,3.3,India,GMT,55,Research Assistant,2,2,4,157,Windows Firefox,Company Website,False,13,0,0.45,0,27.5,11,0,4,3
Tech Institute,3.38,India,IST,109,Marketing Intern,2,2,4,63,Windows Firefox,Company Website,False,15,0,0.55,0,54.5,16,0,6,2
Liberal Arts College,3.22,China,IST,97,Business Analyst Intern,1,2,2,215,Windows Chrome,Job Portal,False,15,0,0.55,0,48.5,17,0,3,6
Liberal Arts College,3.15,Canada,PST,115,Research Assistant,1,4,4,82,Windows Firefox,University,False,13,0,0.45,0,28.75,11,0,4,4
Community College,3.65,UK,GMT,58,Data Science Intern,2,3,2,465,Windows Chrome,Company Website,False,14,0,0.5,0,19.33333333333333,12,0,5,1
